 ID,Company,Product,Issue,State,Submitted via,Date received,Date resolved,Timely response?,Consumer disputed?,state name,Date received.1,Date resolved.1,Resolution time(in days),Year,QTR (US FLY),Consumer disputed
2067896,Wells Fargo & Company,Empréstimo Pessoal,Busca por linha de crédito,NV,Email,08/17/2016,08/25/2016,Yes,No,Nevada,8/17/2016,8/25/2016,8,2016,Q3,0
1891280,Consumer Portfolio Services,Empréstimo Pessoal,Problemas ao não conseguir pagar,PA,Web,04/21/2016,04/26/2016,Yes,No,Pennsylvania,4/21/2016,4/26/2016,5,2016,Q2,0
1844051,Wells Fargo & Company,Empréstimo Imobiliário,"Serviço do empréstimo, pagamentos, conta garantia (escrow)",MN,Email,03/22/2016,03/23/2016,Yes,No,Minnesota,3/22/2016,3/23/2016,1,2016,Q1,0
561593,Wells Fargo & Company,Conta Bancária ou Serviço Bancário,Problemas causados por fundos insuficientes,FL,Phone,10/17/2013,10/18/2013,Yes,No,Florida,10/17/2013,10/18/2013,1,2013,Q4,0
771659,Bank of America,Conta Bancária ou Serviço Bancário,Depósitos e saques,CA,Web,03/21/2014,03/21/2014,Yes,No,California,3/21/2014,3/21/2014,0,2014,Q1,0
711888,Wells Fargo & Company,Empréstimo Estudantil,Lidando com meu credor ou agente,IL,Web,12/2/2014,12/2/2014,Yes,No,Illinois,2/12/2014,2/12/2014,0,2014,Q1,0
1633385,Wells Fargo & Company,Conta Bancária ou Serviço Bancário,"Abertura, fechamento ou gerenciamento de conta",PA,Phone,10/30/2015,10/30/2015,No,No,Pennsylvania,10/30/2015,10/30/2015,0,2015,Q4,0
1697127,Amex,Cartão de Crédito,Atendimento ao cliente / Relações com o cliente,CA,Phone,12/15/2015,12/16/2015,Yes,No,California,12/15/2015,12/16/2015,1,2015,Q4,0
1798854,Wells Fargo & Company,Empréstimo Pessoal,Gerenciamento do empréstimo ou leasing,OH,Phone,02/22/2016,02/23/2016,Yes,No,Ohio,2/22/2016,2/23/2016,1,2016,Q1,0
1482773,Encore Capital Group,Cobrança de Dívidas,Táticas de comunicação,IN,Phone,07/23/2015,07/27/2015,Yes,No,Indiana,7/23/2015,7/27/2015,4,2015,Q3,0
1093866,Round Point Mortgage,Empréstimo Imobiliário,"Serviço do empréstimo, pagamentos, conta garantia (escrow)",AR,Web,10/30/2014,10/30/2014,Yes,No,Arkansas,10/30/2014,10/30/2014,0,2014,Q4,0
1980723,"SRA Associates, Inc.",Cobrança de Dívidas,Táticas de comunicação,CA,Phone,06/22/2016,06/26/2016,Yes,No,California,6/22/2016,6/26/2016,4,2016,Q2,0
658682,Wells Fargo & Company,Empréstimo Imobiliário,"Aplicação, originador, corretor hipotecário",MA,Email,8/1/2014,8/1/2014,Yes,Yes,Massachusetts,1/8/2014,1/8/2014,0,2014,Q1,1
526491,Bank of America,Conta Bancária ou Serviço Bancário,Problemas causados por fundos insuficientes,GA,Web,09/15/2013,09/16/2013,Yes,No,Georgia,9/15/2013,9/16/2013,1,2013,Q3,0
1334119,Bank of America,Empréstimo Imobiliário,"Serviço do empréstimo, pagamentos, conta garantia (escrow)",MN,Web,04/15/2015,04/15/2015,Yes,No,Minnesota,4/15/2015,4/15/2015,0,2015,Q2,0
2069081,TD Bank US Holding Company,Cartão de Crédito,Determinação de crédito,TX,Web,08/17/2016,08/17/2016,Yes,No,Texas,8/17/2016,8/17/2016,0,2016,Q3,0
1213555,Regions Financial Corporation,Empréstimo Imobiliário,"Serviço do empréstimo, pagamentos, conta garantia (escrow)",AR,Web,01/28/2015,2/2/2015,Yes,Yes,Arkansas,1/28/2015,2/2/2015,5,2015,Q1,1
368624,Bank of America,Empréstimo Imobiliário,"Serviço do empréstimo, pagamentos, conta garantia (escrow)",ME,Email,03/28/2013,03/29/2013,Yes,Yes,Maine,3/28/2013,3/29/2013,1,2013,Q1,1
862683,TMX Finance LLC,Empréstimo Consignado,Cobranças ou juros inesperados,TX,Phone,05/21/2014,05/22/2014,Yes,No,Texas,5/21/2014,5/22/2014,1,2014,Q2,0
821215,PNC Bank N.A.,Cobrança de Dívidas,Tomada ou ameaça de ação ilegal,VA,Web,04/23/2014,04/23/2014,Yes,No,Virginia,4/23/2014,4/23/2014,0,2014,Q2,0
253867,Bank of America,Conta Bancária ou Serviço Bancário,"Fazendo/recebendo pagamentos, enviando dinheiro",CA,Email,01/23/2013,01/23/2013,Yes,No,California,1/23/2013,1/23/2013,0,2013,Q1,0
389147,TD Bank US Holding Company,Cartão de Crédito,Disputas de cobrança,SC,Web,04/22/2013,04/23/2013,Yes,No,South Carolina,4/22/2013,4/23/2013,1,2013,Q2,0
1715858,Persian Acceptance Corp,Relatório de Crédito,Investigação da empresa de relatório de crédito,MA,Web,12/23/2015,01/28/2016,No,No,Massachusetts,12/23/2015,1/28/2016,36,2015,Q4,0
1665697,"SunTrust Banks, Inc.",Conta Bancária ou Serviço Bancário,Depósitos e saques,NC,Phone,11/20/2015,11/24/2015,Yes,No,North Carolina,11/20/2015,11/24/2015,4,2015,Q4,0
1691503,Wells Fargo & Company,Cobrança de Dívidas,"Modificação de empréstimo, cobrança, execução hipotecária",NC,Email,10/12/2015,12/14/2015,Yes,No,North Carolina,12/10/2015,12/14/2015,4,2015,Q4,0
539418,Equifax,Relatório de Crédito,Investigação da empresa de relatório de crédito,MI,Web,09/24/2013,09/26/2013,Yes,No,Michigan,9/24/2013,9/26/2013,2,2013,Q3,0
887716,Experian,Relatório de Crédito,Monitoramento de crédito ou proteção de identidade,OR,Web,10/6/2014,10/6/2014,Yes,No,Oregon,6/10/2014,6/10/2014,0,2014,Q2,0
1451002,"Navient Solutions, Inc.",Empréstimo Estudantil,Não consigo pagar meu empréstimo,TX,Web,3/7/2015,3/7/2015,Yes,No,Texas,7/3/2015,7/3/2015,0,2015,Q3,0
1849946,Citibank,Cartão de Crédito,Determinação de crédito,FL,Web,03/25/2016,03/25/2016,Yes,No,Florida,3/25/2016,3/25/2016,0,2016,Q1,0
1765234,Bank of America,Empréstimo Imobiliário,"Aplicação, originador, corretor hipotecário",CT,Web,01/30/2016,01/30/2016,Yes,Yes,Connecticut,1/30/2016,1/30/2016,0,2016,Q1,1
807403,PNC Bank N.A.,Empréstimo Estudantil,Não consigo pagar meu empréstimo,PA,Web,04/14/2014,04/14/2014,Yes,No,Pennsylvania,4/14/2014,4/14/2014,0,2014,Q2,0
336727,BNY Mellon,Conta Bancária ou Serviço Bancário,Problemas causados por fundos insuficientes,NC,Web,02/27/2013,02/28/2013,Yes,No,North Carolina,2/27/2013,2/28/2013,1,2013,Q1,0
1631732,Equifax,Relatório de Crédito,Investigação da empresa de relatório de crédito,CA,Web,10/29/2015,10/29/2015,Yes,Yes,California,10/29/2015,10/29/2015,0,2015,Q4,1
1365694,U.S. Bancorp,Empréstimo Imobiliário,"Serviço do empréstimo, pagamentos, conta garantia (escrow)",NV,Web,7/5/2015,8/5/2015,Yes,No,Nevada,5/7/2015,5/8/2015,1,2015,Q2,0
842184,TD Bank US Holding Company,Cobrança de Dívidas,Declarações ou representações falsas,TX,Web,7/5/2014,7/5/2014,Yes,Yes,Texas,5/7/2014,5/7/2014,0,2014,Q2,1
1887802,Bank of America,Empréstimo Imobiliário,"Serviço do empréstimo, pagamentos, conta garantia (escrow)",CA,Email,04/20/2016,04/21/2016,Yes,No,California,4/20/2016,4/21/2016,1,2016,Q2,0
1595239,AES/PHEAA,Empréstimo Estudantil,Não consigo pagar meu empréstimo,IN,Web,6/10/2015,6/10/2015,Yes,No,Indiana,10/6/2015,10/6/2015,0,2015,Q4,0
2059334,Ditech Financial LLC,Empréstimo Imobiliário,"Serviço do empréstimo, pagamentos, conta garantia (escrow)",AZ,Web,12/8/2016,12/8/2016,Yes,No,Arizona,8/12/2016,8/12/2016,0,2016,Q3,0
1958110,JPMorgan Chase & Co.,Cartão de Crédito,Disputas de cobrança,FL,Email,7/6/2016,9/6/2016,Yes,No,Florida,6/7/2016,6/9/2016,2,2016,Q2,0
1899238,"CL Holdings, LLC",Cobrança de Dívidas,Contato inadequado ou compartilhamento de informações,WA,Web,04/27/2016,04/27/2016,Yes,No,Washington,4/27/2016,4/27/2016,0,2016,Q2,0
1528263,JPMorgan Chase & Co.,Empréstimo Estudantil,Não consigo pagar meu empréstimo,NC,Web,08/20/2015,08/20/2015,Yes,No,North Carolina,8/20/2015,8/20/2015,0,2015,Q3,0
694264,Nationstar Mortgage,Empréstimo Imobiliário,"Serviço do empréstimo, pagamentos, conta garantia (escrow)",VA,Web,01/31/2014,01/31/2014,Yes,No,Virginia,1/31/2014,1/31/2014,0,2014,Q1,0
370880,Citibank,Cartão de Crédito,Práticas de cobrança,CO,Phone,1/4/2013,2/4/2013,Yes,No,Colorado,4/1/2013,4/2/2013,1,2013,Q2,0
587945,Equifax,Relatório de Crédito,Investigação da empresa de relatório de crédito,TX,Web,6/11/2013,6/11/2013,Yes,No,Texas,11/6/2013,11/6/2013,0,2013,Q4,0
1219874,"OneMain Financial Holdings, LLC",Cobrança de Dívidas,Contato inadequado ou compartilhamento de informações,NM,Web,2/2/2015,2/2/2015,Yes,No,New Mexico,2/2/2015,2/2/2015,0,2015,Q1,0
1961748,U.S. Bancorp,Cartão de Crédito,Disputas de cobrança,ID,Web,10/6/2016,10/6/2016,Yes,No,Idaho,6/10/2016,6/10/2016,0,2016,Q2,0
222989,HSBC North America Holdings Inc.,Empréstimo Pessoal,Problemas ao não conseguir pagar,OH,Web,6/1/2013,7/1/2013,Yes,No,Ohio,1/6/2013,1/7/2013,1,2013,Q1,0
674946,Allied Interstate LLC,Cobrança de Dívidas,Táticas de comunicação,CO,Phone,01/17/2014,01/27/2014,Yes,No,Colorado,1/17/2014,1/27/2014,10,2014,Q1,0
1636323,Bank of America,Cartão de Crédito,Recompensas,NC,Web,2/11/2015,2/11/2015,Yes,No,North Carolina,11/2/2015,11/2/2015,0,2015,Q4,0
1049168,Experian,Relatório de Crédito,Investigação da empresa de relatório de crédito,CT,Web,09/29/2014,09/29/2014,Yes,No,Connecticut,9/29/2014,9/29/2014,0,2014,Q3,0
1623653,Ditech Financial LLC,Empréstimo Imobiliário,"Serviço do empréstimo, pagamentos, conta garantia (escrow)",GA,Web,10/25/2015,10/27/2015,Yes,Yes,Georgia,10/25/2015,10/27/2015,2,2015,Q4,1
792452,Capital One,Empréstimo Imobiliário,"Serviço do empréstimo, pagamentos, conta garantia (escrow)",NY,Web,3/4/2014,3/4/2014,Yes,No,New York,4/3/2014,4/3/2014,0,2014,Q2,0
1589800,"Social Finance, Inc.",Empréstimo Estudantil,Obtendo um empréstimo,DE,Web,2/10/2015,2/10/2015,Yes,Yes,Delaware,10/2/2015,10/2/2015,0,2015,Q4,1
1310422,Transworld Systems Inc.,Empréstimo Estudantil,Lidando com meu credor ou agente,TN,Web,1/4/2015,3/4/2015,Yes,No,Tennessee,4/1/2015,4/3/2015,2,2015,Q2,0
1121022,"Navient Solutions, Inc.",Empréstimo Estudantil,Lidando com meu credor ou agente,MA,Web,11/18/2014,11/18/2014,Yes,No,Massachusetts,11/18/2014,11/18/2014,0,2014,Q4,0
1715430,Amex,Conta Bancária ou Serviço Bancário,"Abertura, fechamento ou gerenciamento de conta",CA,Fax,12/23/2015,12/23/2015,Yes,No,California,12/23/2015,12/23/2015,0,2015,Q4,0
572948,"Check into Cash, Inc.",Empréstimo Pessoal,Problemas ao não conseguir pagar,TX,Web,10/25/2013,10/25/2013,Yes,Yes,Texas,10/25/2013,10/25/2013,0,2013,Q4,1
1466821,Capital One,Cartão de Crédito,Taxa de juros ou APR,TX,Web,07/14/2015,07/14/2015,Yes,No,Texas,7/14/2015,7/14/2015,0,2015,Q3,0
1591465,"JH Portfolio Debt Equities, LLC",Cobrança de Dívidas,"Modificação de empréstimo, cobrança, execução hipotecária",IL,Web,1/10/2015,1/10/2015,Yes,Yes,Illinois,10/1/2015,10/1/2015,0,2015,Q4,1
1200520,Equifax,Relatório de Crédito,Incapaz de obter relatório de crédito/score,CA,Web,11/19/2014,11/19/2014,Yes,No,California,11/19/2014,11/19/2014,0,2014,Q4,0
265330,Bank of America,Empréstimo Imobiliário,"Aplicação, originador, corretor hipotecário",FL,Web,01/28/2013,01/28/2013,Yes,Yes,Florida,1/28/2013,1/28/2013,0,2013,Q1,1
1081527,Selene Finance,Empréstimo Imobiliário,"Serviço do empréstimo, pagamentos, conta garantia (escrow)",OK,Web,10/22/2014,10/22/2014,Yes,No,Oklahoma,10/22/2014,10/22/2014,0,2014,Q4,0
1874290,JPMorgan Chase & Co.,Empréstimo Imobiliário,"Serviço do empréstimo, pagamentos, conta garantia (escrow)",MO,Email,11/4/2016,12/4/2016,Yes,Yes,Missouri,4/11/2016,4/12/2016,1,2016,Q2,1
1178182,Regions Financial Corporation,Empréstimo Imobiliário,"Serviço do empréstimo, pagamentos, conta garantia (escrow)",MN,Web,2/1/2015,2/1/2015,Yes,No,Minnesota,1/2/2015,1/2/2015,0,2015,Q1,0
1593714,Navy FCU,Conta Bancária ou Serviço Bancário,"Fazendo/recebendo pagamentos, enviando dinheiro",NJ,Email,5/10/2015,7/10/2015,Yes,No,New Jersey,10/5/2015,10/7/2015,2,2015,Q4,0
1031512,"Expert Global Solutions, Inc.",Cobrança de Dívidas,Contato inadequado ou compartilhamento de informações,OH,Web,09/16/2014,09/22/2014,Yes,No,Ohio,9/16/2014,9/22/2014,6,2014,Q3,0
921997,JPMorgan Chase & Co.,Empréstimo Imobiliário,"Serviço do empréstimo, pagamentos, conta garantia (escrow)",OH,Web,2/7/2014,2/7/2014,Yes,No,Ohio,7/2/2014,7/2/2014,0,2014,Q3,0
435370,Citibank,Cartão de Crédito,Fechamento/cancelamento de conta,FL,Web,06/18/2013,06/18/2013,Yes,No,Florida,6/18/2013,6/18/2013,0,2013,Q2,0
982625,Fifth Third Financial Corporation,Conta Bancária ou Serviço Bancário,"Abertura, fechamento ou gerenciamento de conta",IL,Web,08/13/2014,08/15/2014,Yes,No,Illinois,8/13/2014,8/15/2014,2,2014,Q3,0
1065625,TD Bank US Holding Company,Conta Bancária ou Serviço Bancário,Depósitos e saques,PA,Web,9/10/2014,10/16/2014,Yes,No,Pennsylvania,10/9/2014,10/16/2014,7,2014,Q4,0
1604563,Wells Fargo & Company,Conta Bancária ou Serviço Bancário,Depósitos e saques,WA,Email,10/13/2015,10/15/2015,Yes,No,Washington,10/13/2015,10/15/2015,2,2015,Q4,0
1633661,ACS Education Services,Empréstimo Estudantil,Não consigo pagar meu empréstimo,OH,Web,10/30/2015,10/30/2015,Yes,Yes,Ohio,10/30/2015,10/30/2015,0,2015,Q4,1
514970,First Tennessee Bank,Conta Bancária ou Serviço Bancário,Problemas causados por fundos insuficientes,TN,Postal mail,5/9/2013,6/9/2013,Yes,No,Tennessee,9/5/2013,9/6/2013,1,2013,Q3,0
600176,JPMorgan Chase & Co.,Conta Bancária ou Serviço Bancário,"Abertura, fechamento ou gerenciamento de conta",PA,Postal mail,11/15/2013,11/18/2013,Yes,No,Pennsylvania,11/15/2013,11/18/2013,3,2013,Q4,0
1490126,Ally Financial Inc.,Empréstimo Pessoal,Problemas ao não conseguir pagar,PA,Web,07/28/2015,07/28/2015,Yes,No,Pennsylvania,7/28/2015,7/28/2015,0,2015,Q3,0
371175,AES/PHEAA,Empréstimo Estudantil,Pagamento do empréstimo,PA,Web,1/4/2013,2/4/2013,Yes,No,Pennsylvania,4/1/2013,4/2/2013,1,2013,Q2,0
268387,Discover,Cartão de Crédito,Disputas de cobrança,OH,Web,01/24/2013,01/25/2013,Yes,No,Ohio,1/24/2013,1/25/2013,1,2013,Q1,0
875041,Bank of America,Cobrança de Dívidas,Contato inadequado ou compartilhamento de informações,MA,Web,05/30/2014,05/30/2014,Yes,Yes,Massachusetts,5/30/2014,5/30/2014,0,2014,Q2,1
1376295,Citibank,Cartão Pré-Pago,Transações não autorizadas / Problemas de transação,OK,Web,05/14/2015,05/15/2015,Yes,No,Oklahoma,5/14/2015,5/15/2015,1,2015,Q2,0
1808365,Citibank,Cartão de Crédito,Fatura,DE,Web,02/29/2016,02/29/2016,Yes,No,Delaware,2/29/2016,2/29/2016,0,2016,Q1,0
1863347,Ocwen,Empréstimo Imobiliário,"Serviço do empréstimo, pagamentos, conta garantia (escrow)",CA,Phone,4/4/2016,6/4/2016,Yes,Yes,California,4/4/2016,4/6/2016,2,2016,Q2,1
1534651,Citibank,Cartão de Crédito,Processo de quitação,AZ,Web,08/25/2015,08/25/2015,Yes,No,Arizona,8/25/2015,8/25/2015,0,2015,Q3,0
2089664,"ONLINE Information Services, Inc.",Cobrança de Dívidas,"Modificação de empréstimo, cobrança, execução hipotecária",MD,Web,08/31/2016,08/31/2016,Yes,No,Maryland,8/31/2016,8/31/2016,0,2016,Q3,0
732373,Round Point Mortgage,Empréstimo Imobiliário,"Serviço do empréstimo, pagamentos, conta garantia (escrow)",GA,Web,02/26/2014,02/28/2014,Yes,No,Georgia,2/26/2014,2/28/2014,2,2014,Q1,0
361260,Ocwen,Empréstimo Imobiliário,"Serviço do empréstimo, pagamentos, conta garantia (escrow)",NC,Phone,03/20/2013,03/21/2013,Yes,Yes,North Carolina,3/20/2013,3/21/2013,1,2013,Q1,1
1391553,Education Management Corporation,Empréstimo Estudantil,Obtendo um empréstimo,MN,Web,05/26/2015,05/26/2015,Yes,Yes,Minnesota,5/26/2015,5/26/2015,0,2015,Q2,1
1717985,Credit Bureau of Napa,Cobrança de Dívidas,Declarações ou representações falsas,VA,Web,12/28/2015,12/30/2015,Yes,No,Virginia,12/28/2015,12/30/2015,2,2015,Q4,0
573460,Encore Capital Group,Cobrança de Dívidas,Táticas de comunicação,MI,Web,10/28/2013,10/28/2013,Yes,No,Michigan,10/28/2013,10/28/2013,0,2013,Q4,0
1893503,Van Ru Credit Corporation,Cobrança de Dívidas,Declarações ou representações falsas,CA,Web,04/23/2016,04/23/2016,Yes,No,California,4/23/2016,4/23/2016,0,2016,Q2,0
247190,Ocwen,Empréstimo Imobiliário,"Serviço do empréstimo, pagamentos, conta garantia (escrow)",GA,Web,01/17/2013,01/22/2013,Yes,Yes,Georgia,1/17/2013,1/22/2013,5,2013,Q1,1
1890512,Ditech Financial LLC,Empréstimo Pessoal,Gerenciamento do empréstimo ou leasing,SC,Web,04/21/2016,04/25/2016,Yes,No,South Carolina,4/21/2016,4/25/2016,4,2016,Q2,0
1253564,"Regional Acquisition Group, Inc.",Cobrança de Dívidas,Contato inadequado ou compartilhamento de informações,OH,Web,02/24/2015,02/24/2015,Yes,No,Ohio,2/24/2015,2/24/2015,0,2015,Q1,0
1486351,"Navient Solutions, Inc.",Empréstimo Estudantil,Lidando com meu credor ou agente,NE,Web,07/24/2015,07/24/2015,Yes,No,Nebraska,7/24/2015,7/24/2015,0,2015,Q3,0
1382081,AES/PHEAA,Empréstimo Estudantil,Lidando com meu credor ou agente,OH,Web,05/19/2015,05/19/2015,Yes,No,Ohio,5/19/2015,5/19/2015,0,2015,Q2,0
570126,Nationstar Mortgage,Empréstimo Imobiliário,"Serviço do empréstimo, pagamentos, conta garantia (escrow)",VA,Email,10/24/2013,10/25/2013,Yes,No,Virginia,10/24/2013,10/25/2013,1,2013,Q4,0
743861,Exeter Finance Corp,Empréstimo Pessoal,Problemas ao não conseguir pagar,NY,Web,5/3/2014,5/3/2014,Yes,No,New York,3/5/2014,3/5/2014,0,2014,Q1,0
1421255,FirstBank of Puerto Rico,Conta Bancária ou Serviço Bancário,"Abertura, fechamento ou gerenciamento de conta",FL,Email,06/15/2015,06/19/2015,No,No,Florida,6/15/2015,6/19/2015,4,2015,Q2,0
1813220,Nationstar Mortgage,Empréstimo Imobiliário,"Aplicação, originador, corretor hipotecário",NY,Web,2/3/2016,2/3/2016,Yes,No,New York,3/2/2016,3/2/2016,0,2016,Q1,0
2065159,Equifax,Relatório de Crédito,Investigação da empresa de relatório de crédito,AZ,Web,08/16/2016,08/16/2016,Yes,No,Arizona,8/16/2016,8/16/2016,0,2016,Q3,0
2019593,Citibank,Cartão de Crédito,Publicidade e marketing,LA,Web,07/19/2016,07/19/2016,Yes,No,Louisiana,7/19/2016,7/19/2016,0,2016,Q3,0
322953,Citibank,Conta Bancária ou Serviço Bancário,"Abertura, fechamento ou gerenciamento de conta",NY,Phone,02/20/2013,02/21/2013,Yes,No,New York,2/20/2013,2/21/2013,1,2013,Q1,0
1247480,Bank of America,Conta Bancária ou Serviço Bancário,Uso de cartão de débito ou caixa eletrônico,CA,Email,02/19/2015,02/20/2015,Yes,Yes,California,2/19/2015,2/20/2015,1,2015,Q1,1
503590,Ocwen,Empréstimo Imobiliário,Processo de liquidação e custos,WA,Web,08/24/2013,08/26/2013,Yes,Yes,Washington,8/24/2013,8/26/2013,2,2013,Q3,1
1619442,"Convergent Resources, Inc.",Cobrança de Dívidas,Tomada ou ameaça de ação ilegal,TX,Web,10/22/2015,10/22/2015,Yes,Yes,Texas,10/22/2015,10/22/2015,0,2015,Q4,1
